"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Kamalei Correa","K.Correa","TEN","OLB","00-0032386"
2019,"reg","Nigel Harris","N.Harris","TEN","LB","00-0033700"
2019,"reg","Rashaan Evans","R.Evans","TEN","ILB","00-0034743"
2019,"reg","Reggie Gilbert","R.Gilbert","TEN","LB","00-0032633"
2019,"reg","Sharif Finch","S.Finch","TEN","LB","00-0034659"
2019,"reg","Wesley Woodyard","W.Woodyard","TEN","ILB","00-0025828"
2019,"reg","Austin Johnson","A.Johnson","TEN","NT","00-0032763"
2019,"reg","DaQuan Jones","D.Jones","TEN","DE","00-0031054"
2019,"reg","Isaiah Mack","I.Mack","TEN","DT","00-0035519"
2019,"reg","Jeffery Simmons","J.Simmons","TEN","DT","00-0035643"
2019,"reg","Joey Ivie","J.Ivie","TEN","DT","00-0033590"
2019,"reg","Jurrell Casey","J.Casey","TEN","DE","00-0028015"
2019,"reg","Matt Dickerson","M.Dickerson","TEN","DE","00-0034657"
2019,"reg","Anthony Firkser","A.Firkser","TEN","TE","00-0033455"
2019,"reg","Delanie Walker","D.Walker","TEN","TE","00-0024389"
2019,"reg","MyCole Pruitt","M.Pruitt","TEN","TE","00-0031585"
2019,"reg","A.J. Brown","A.Brown","TEN","WR","00-0035676"
2019,"reg","Cody Hollister","C.Hollister","TEN","WR","00-0033386"
2019,"reg","Corey Davis","C.Davis","TEN","WR","00-0033871"
2019,"reg","Tajae Sharpe","T.Sharpe","TEN","WR","00-0032778"
2019,"reg","Dalyn Dawkins","D.Dawkins","TEN","RB","00-0034654"
2019,"reg","Derrick Henry","D.Henry","TEN","RB","00-0032764"
2019,"reg","Dion Lewis","D.Lewis","TEN","RB","00-0028087"
2019,"reg","Marcus Mariota","M.Mariota","TEN","QB","00-0032268"
2019,"reg","Ryan Tannehill","R.Tannehill","TEN","QB","00-0029701"
2019,"reg","Dustin Hopkins","D.Hopkins","WAS","K","00-0030098"
2019,"reg","Steven Sims","S.Sims","WAS","WR","00-0034928"
2019,"reg","Trey Quinn","T.Quinn","WAS","WR","00-0034339"
2019,"reg","Tress Way","T.Way","WAS","P","00-0030140"
2019,"reg","Wendell Smallwood","W.Smallwood","WAS","RB","00-0032782"
2019,"reg","Aaron Colvin","A.Colvin","WAS","CB","00-0031259"
2019,"reg","Breon Borders","B.Borders","WAS","CB","00-0033435"
2019,"reg","Coty Sensabaugh","C.Sensabaugh","WAS","CB","00-0029529"
2019,"reg","Danny Johnson","D.Johnson","WAS","DB","00-0034071"
2019,"reg","Dee Delaney","D.Delaney","WAS","DB","00-0034515"
2019,"reg","Deshazor Everett","D.Everett","WAS","DB","00-0031844"
2019,"reg","Dominique Rodgers-Cromartie","D.Rodgers-Cromartie","WAS","CB","00-0026156"
2019,"reg","Fabian Moreau","F.Moreau","WAS","CB","00-0033918"
2019,"reg","Greg Stroman","G.Stroman","WAS","CB","00-0034337"
2019,"reg","Jeremy Reaves","J.Reaves","WAS","DB","00-0034465"
2019,"reg","Jimmy Moreland","J.Moreland","WAS","CB","00-0035307"
2019,"reg","Josh Norman","J.Norman","WAS","CB","00-0029285"
2019,"reg","Kayvon Webster","K.Webster","WAS","DB","00-0030523"
2019,"reg","Kenny Ladler","K.Ladler","WAS","DB","00-0030908"
2019,"reg","Landon Collins","L.Collins","WAS","SS","00-0032262"
2019,"reg","Maurice Smith","M.Smith","WAS","DB","00-0033415"
2019,"reg","Montae Nicholson","M.Nicholson","WAS","FS","00-0033527"
2019,"reg","Quinton Dunbar","Q.Dunbar","WAS","CB","00-0032007"
2019,"reg","Simeon Thomas","S.Thomas","WAS","DB","00-0034276"
2019,"reg","Troy Apke","T.Apke","WAS","FS","00-0034334"
2019,"reg","Cassanova McKinzy","C.McKinzy","WAS","LB","00-0032751"
2019,"reg","Cole Holcomb","C.Holcomb","WAS","LB","00-0035286"
2019,"reg","Jon Bostic","J.Bostic","WAS","ILB","00-0030064"
2019,"reg","Josh Harvey-Clemons","J.Harvey-Clemons","WAS","LB","00-0033532"
2019,"reg","Montez Sweat","M.Sweat","WAS","LB","00-0035647"
2019,"reg","Ryan Anderson","R.Anderson","WAS","LB","00-0033525"
2019,"reg","Ryan Kerrigan","R.Kerrigan","WAS","OLB","00-0027954"
2019,"reg","Shaun Dion Hamilton","S.Hamilton","WAS","LB","00-0034336"
2019,"reg","Caleb Brantley","C.Brantley","WAS","DT","00-0033962"
2019,"reg","Chris Odom","C.Odom","WAS","DE","00-0033234"
2019,"reg","Daron Payne","D.Payne","WAS","NT","00-0034333"
2019,"reg","Jonathan Allen","J.Allen","WAS","DE","00-0033523"
2019,"reg","Matthew Ioannidis","M.Ioannidis","WAS","DE","00-0032781"
2019,"reg","Nate Orchard","N.Orchard","WAS","DE","00-0031556"
2019,"reg","Ryan Bee","R.Bee","WAS","DE","00-0034939"
2019,"reg","Tim Settle","T.Settle","WAS","DT","00-0034397"
2019,"reg","Treyvon Hester","T.Hester","WAS","DT","00-0033976"
2019,"reg","Hale Hentges","H.Hentges","WAS","TE","00-0035025"
2019,"reg","Jeremy Sprinkle","J.Sprinkle","WAS","TE","00-0033528"
2019,"reg","Vernon Davis","V.Davis","WAS","TE","00-0024221"
2019,"reg","Cam Sims","C.Sims","WAS","WR","00-0034104"
2019,"reg","Kelvin Harmon","K.Harmon","WAS","WR","00-0035297"
2019,"reg","Paul Richardson","P.Richardson","WAS","WR","00-0031257"
2019,"reg","Terry McLaurin","T.McLaurin","WAS","WR","00-0035659"
2019,"reg","Adrian Peterson","A.Peterson","WAS","RB","00-0025394"
2019,"reg","Chris Thompson","C.Thompson","WAS","RB","00-0030404"
2019,"reg","Derrius Guice","D.Guice","WAS","RB","00-0034358"
2019,"reg","Josh Ferguson","J.Ferguson","WAS","RB","00-0032377"
2019,"reg","Case Keenum","C.Keenum","WAS","QB","00-0028986"
2019,"reg","Colt McCoy","C.McCoy","WAS","QB","00-0027688"
2019,"reg","Dwayne Haskins","D.Haskins","WAS","QB","00-0035232"
